NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
HAT-P-18 b,0.197205,0.995,5.508023,0.084
Kepler-357 b,0.0135483,0.164154,6.475434,
Kepler-406 c,0.00857506,0.0758319,4.62332,0
HD 155358 c,0.807031,,391.9,0.16
WASP-43 b,1.77609,0.93,0.813475,0
Kepler-159 c,0.0351084,0.30422,43.595792,
Kepler-39 b,18.1805,1.22,21.0874,0.121
14 And b,4.68383,,185.84,0
Kepler-215 b,0.0120479,0.144527,9.360672,
Kepler-294 b,0.0130508,0.157909,3.701212,
Kepler-29 b,0.0397121,0.320884,10.3376,0
Kepler-24 b,0.0185071,0.213923,8.14561,0
Kepler-306 b,0.0123086,0.135605,4.646186,
Kepler-83 b,0.0240196,0.252,9.77,
81 Cet b,4.31096,,952.7,0.206
CoRoT-3 b,21.8549,1.01,4.2568,0
Kepler-377 b,0.00915403,0.124008,12.509529,
Kepler-126 d,0.0196646,0.223035,100.283134,
HAT-P-38 b,0.267569,0.825,4.640382,0.067
Kepler-18 d,0.0516,0.622714,14.85888,0.000521567
Kepler-380 b,0.00538981,0.106165,3.930821,
Kepler-132 d,0.011604,0.138282,18.010199,
Kepler-228 b,0.0125754,0.136497,2.566546,
mu Ara e,0.543322,,310.54999,0.0666
Kepler-97 b,0.0106941,0.132037,2.58664,0
Kepler-139 b,0.0258466,0.262289,15.771044,
Kepler-375 b,0.010538,0.12936,12.125934,
HD 136118 b,11.6809,,1187.3,0.338
Kepler-182 b,0.0206381,0.230172,9.825792,
HD 6434 b,0.397195,,21.997999,0.17
HD 5319 b,1.6984,,674.59998,0.12
Kepler-306 e,0.0171819,0.202516,44.840975,
Kepler-253 b,0.0121124,0.145419,3.783986,
Kepler-259 b,0.0236491,0.249799,8.115317,
HD 231701 b,1.08667,,141.60001,0.1
PH-2 b,0.488198,0.902041,282.5255,0.41
CoRoT-18 b,3.48652,1.31,1.9000693,0.04
Kepler-203 d,0.0102988,0.128468,11.32972,
HD 75898 b,2.51504,,418.20001,0.1
Kepler-224 b,0.00915403,0.124008,3.132924,
